LawAnswers	{'facebook_url': ' https://www.facebook.com/4lawanswers/', 'crunchbase_url': ' https://www.crunchbase.com/organization/lawanswers-com-au'}
Horizon	{'twitter_url': ' https://twitter.com/horizonnews?lang=en', 'crunchbase_url': ' https://www.crunchbase.com/organization/horizon-2', 'angellist_url': ' https://angel.co/company/horizon-2'}
ipInstruments	{'crunchbase_url': ' https://www.crunchbase.com/organization/ipinstruments', 'angellist_url': ' https://angel.co/company/ipinstruments'}
IVIZE Services Inc	{'facebook_url': ' https://www.facebook.com/pages/IVIZE-Services-Inc/735752633209961', 'crunchbase_url': ' https://www.crunchbase.com/organization/ivize-services-inc'}
JammedUp	{'crunchbase_url': ' https://www.crunchbase.com/organization/jammedup'}
Juridicus	{'twitter_url': ' https://twitter.com/hashtag/Juridicus?src=hash', 'facebook_url': ' https://www.facebook.com/pages/category/Interest/Juridicus-1488136091495356/', 'crunchbase_url': ' https://www.crunchbase.com/organization/juridicus', 'angellist_url': ' https://angel.co/company/juridicus-1', 'linkedin_url': ' https://www.linkedin.com/company/juridicus-spa'}
Jurify	{'crunchbase_url': ' https://www.crunchbase.com/organization/jurify'}
Judicata	{'twitter_url': ' https://twitter.com/placejudicata?lang=en', 'facebook_url': ' https://www.facebook.com/PlaceJudicata/', 'linkedin_url': ' https://www.linkedin.com/company/judicata'}
Jurispect	{'crunchbase_url': ' https://www.crunchbase.com/organization/jurispect'}
JusticeBox	{'twitter_url': ' https://twitter.com/hashtag/justicebox', 'facebook_url': ' https://www.facebook.com/pages/Justiceboxnet/220292828152914'}
JustiServ	{'twitter_url': ' https://twitter.com/justiserv?lang=en', 'crunchbase_url': ' https://www.crunchbase.com/organization/justiserv'}
Kinso	{'twitter_url': ' https://twitter.com/hashtag/kinso?lang=en', 'crunchbase_url': ' https://www.crunchbase.com/organization/kinso'}
Kira	{'crunchbase_url': ' https://www.crunchbase.com/organization/kira', 'angellist_url': ' https://angel.co/company/kira-systems/jobs', 'linkedin_url': ' https://www.linkedin.com/company/kirasystems'}
Korbitec	{'facebook_url': ' https://www.facebook.com/KorbitecACL/', 'crunchbase_url': ' https://www.crunchbase.com/organization/korbitec-d3ec', 'angellist_url': ' https://angel.co/company/korbitec'}
Last5	{'twitter_url': ' https://twitter.com/last5yearsmovie?lang=en', 'facebook_url': ' https://www.facebook.com/Last5-117145611986994/', 'crunchbase_url': ' https://www.crunchbase.com/organization/last5'}
Lateral.ly	{'twitter_url': ' https://twitter.com/laterallyapp?lang=en', 'facebook_url': ' https://www.facebook.com/LaterallyApp/photos/its-a-bright-friday-at-the-laterally-office-tgif-startuplife/688732871243884/', 'crunchbase_url': ' https://www.crunchbase.com/organization/laterally', 'linkedin_url': ' https://www.linkedin.com/company/laterally'}
Laterally	{'twitter_url': ' https://twitter.com/laterallyapp?lang=en', 'crunchbase_url': ' https://www.crunchbase.com/organization/laterally', 'angellist_url': ' https://angel.co/company/laterally/jobs'}
Lar21	{'twitter_url': ' https://twitter.com/lar21app', 'crunchbase_url': ' https://www.crunchbase.com/organization/lar21', 'angellist_url': ' https://angel.co/company/lar21/jobs'}
LegalClick	{'twitter_url': ' https://twitter.com/legalclick?lang=en', 'crunchbase_url': ' https://www.crunchbase.com/organization/legalclick', 'angellist_url': ' https://angel.co/company/legalclick'}
LegalYou	{'twitter_url': ' https://twitter.com/thereallegalyou?lang=en', 'main_url': ' https://legalyou.com/', 'linkedin_url': ' https://ve.linkedin.com/company/legalyou?trk=similar-companies_org_image'}
Lawcus	{'crunchbase_url': ' https://www.crunchbase.com/organization/lawcus', 'angellist_url': ' https://angel.co/company/lawcus'}
