name	date	hq	category	audience	model	description	main_url	twitter_url	angellist_url	crunchbase_url	linkedin_url	facebook_url	tags	status
The Time Billing	n/a	Las Condes, Region Metropolitana, Chile	Practice Management	n/a	n/a	The Time Billing is a software firm that provides services to lawyers and law firms.	http://www.thetimebilling.com	n/a	n/a	https://www.crunchbase.com/organization/time-billing	n/a	https://www.facebook.com/The-Time-Billing-286610798148261/	Billing, Business Development, Legal, Legal Tech, Software	active
LexMeet	n/a	Pasig, Rizal, Philippines	Legal Education	n/a	n/a	LexMeet is a mobile app that provides legal advice to its client's legal problems.	 https://www.lexmeet.com/	https://twitter.com/LexMeet	n/a	https://www.crunchbase.com/organization/lexmeet	https://www.linkedin.com/company/lexmeet-inc	https://www.facebook.com/LexMeet/	Advice, Legal Tech, Mobile Apps	active
Adidem Corporation	n/a	n/a	Marketplace	n/a	n/a	Adidem provides software to obtain legal proposals from multiple lawyers for any injury claim.  Compare quotes to see who to hire	https://www.adidemlaw.com	https://twitter.com/adidemcorp	n/a	https://www.crunchbase.com/organization/adidem-corporation	https://www.linkedin.com/company/the-adidem-group	https://www.facebook.com/Adidem-Corporation-2176738169304493/?modal=composer&notify_field=phone	Information Technology, Legal, Legal Tech, Software	active
Benoam	n/a	Tel Aviv, Tel Aviv, Israel	Marketplace	n/a	n/a	Benoam specializes in technological, computerized solutions for the management of legal proceedings and legal data.	 https://benoam-tech.com/	https://twitter.com/gcaw/status/679680653496029184	n/a	https://www.crunchbase.com/organization/benoam-technologies-cim	n/a	https://www.facebook.com/public/Ben-Oam	Angel Investment, Asset Management, Legal, Legal Tech	active
Kobi AI	n/a	Brisbane, Queensland, Australia	Practice Management	n/a	n/a	Kobi AI automates the initial consultation stage of the client-lawyer relationship.	n/a	n/a	n/a	https://www.crunchbase.com/organization/kobi-ai	n/a	https://www.facebook.com/public/Ai-Kobi	Artificial Intelligence, Legal, Legal Tech, Software	acquired
aapkaadvocate.com	n/a	n/a	E-Discovery	n/a	n/a	legal Advice, RTI, phone consultation	 https://www.aapkaadvocate.com/	https://twitter.com/aapkaadvocate	n/a	https://www.crunchbase.com/organization/aapkaadvocate-com	https://www.linkedin.com/company/aapkaadvocate	https://twitter.com/aapkaadvocate	Legal, Legal Tech	active
CYW SOLUTIONS	n/a	Hereford, Herefordshire, United Kingdom	Legal Education	n/a	n/a	Anti-Money Laundering Consultancy and RegTech software	https://cyw.solutions	https://twitter.com/CywSolutions	n/a	https://www.crunchbase.com/organization/cyw-solutions	https://www.linkedin.com/company/cywsolutions/?viewAsMember=true	n/a	Financial Services, Information Technology, Legal Tech, Software	active
Buddle	n/a	n/a	Marketplace	n/a	n/a	Buddle is an online marketplace for legal resources for the cannabis industry.  SaaS, B2B, Legal Cannabis	https://www.buddlelaw.com	https://twitter.com/buddlefindlay?lang=en	https://angel.co/company/bundle-8	https://www.crunchbase.com/organization/buddle	https://www.linkedin.com/company/buddlelaw/	n/a	B2B, Cannabis, Legal Tech, SaaS, Social Entrepreneurship	inactive
SueApp	n/a	Tel Aviv, Tel Aviv, Israel	Practice Management	n/a	n/a	SueApp is an app for small claims filing and case management.	http://www.sueapp.co.il	n/a	n/a	https://www.crunchbase.com/organization/sueapp	n/a	https://www.facebook.com/sueapp.co.il/	Apps, Legal Tech	active
Companyon	n/a	Brussels, Brussels Hoofdstedelijk Gewest, Belgium	Marketplace	n/a	n/a	Legal for businesses, simplified.	 https://www.companyon.co/	https://twitter.com/companyonvc?lang=en	https://angel.co/company/companyon	https://www.crunchbase.com/organization/companyon	https://www.linkedin.com/company/companyon-legaltech	https://www.facebook.com/iamcompanyon/	Legal, Legal Tech	active
